Month,Rail Passenger Miles (millions)
Jan-90,454.12
Feb-90,435.09
Mar-90,568.29
Apr-90,568.1
May-90,539.63
Jun-90,570.69
Jul-90,618.57
Aug-90,609.21
Sep-90,488.44
Oct-90,514.25
Nov-90,516.43
Dec-90,531.62
Jan-91,496.47
Feb-91,469.5
Mar-91,587.91
Apr-91,509.49
May-91,566.34
Jun-91,603.85
Jul-91,633.45
Aug-91,664.01
Sep-91,494.56
Oct-91,509.04
Nov-91,472.36
Dec-91,550.8
Jan-92,493.54
Feb-92,462.08
Mar-92,559.21
Apr-92,572.12
May-92,546.04
Jun-92,478.2
Jul-92,610.77
Aug-92,627.36
Sep-92,516.52
Oct-92,538.31
Nov-92,539.77
Dec-92,551.4
Jan-93,500.35
Feb-93,461.28
Mar-93,534.48
Apr-93,562.43
May-93,554.04
Jun-93,580.5
Jul-93,586.86
Aug-93,611.84
Sep-93,501.35
Oct-93,507.7
Nov-93,489.3
Dec-93,503.04
Jan-94,472.92
Feb-94,463.57
Mar-94,572.17
Apr-94,546.9
May-94,524.01
Jun-94,531.97
Jul-94,578.26
Aug-94,587.23
Sep-94,490.03
Oct-94,493.62
Nov-94,477.59
Dec-94,490.78
Jan-95,425.21
Feb-95,393.27
Mar-95,489.36
Apr-95,490.9
May-95,511.12
Jun-95,542.69
Jul-95,571.26
Aug-95,580.98
Sep-95,451.39
Oct-95,441.2
Nov-95,435.47
Dec-95,444.6
Jan-96,362.02
Feb-96,343.41
Mar-96,416.04
Apr-96,425.09
May-96,467.57
Jun-96,476.55
Jul-96,525.95
Aug-96,551.7
Sep-96,412.34
Oct-96,425.99
Nov-96,389.25
Dec-96,437.26
Jan-97,337.8
Feb-97,337.89
Mar-97,416.93
Apr-97,408.49
May-97,444.03
Jun-97,481.05
Jul-97,540.29
Aug-97,552.49
Sep-97,425.81
Oct-97,445.86
Nov-97,441.25
Dec-97,454.4
Jan-98,371.36
Feb-98,326.87
Mar-98,426.17
Apr-98,447.88
May-98,462.34
Jun-98,482.33
Jul-98,537.48
Aug-98,526.44
Sep-98,430.36
Oct-98,444.72
Nov-98,427.67
Dec-98,459.05
Jan-99,384.82
Feb-99,350.27
Mar-99,436.84
Apr-99,435.36
May-99,450.05
Jun-99,496.55
Jul-99,543.92
Aug-99,528
Sep-99,393.14
Oct-99,425.9
Nov-99,421.6
Dec-99,442.74
Jan-00,366.61
Feb-00,366.14
Mar-00,453.1
Apr-00,473.75
May-00,481.73
Jun-00,517.1
Jul-00,564.75
Aug-00,558.06
Sep-00,446.49
Oct-00,462.33
Nov-00,442.27
Dec-00,461.65
1-Jan,379.46
1-Feb,366.29
1-Mar,448.91
1-Apr,455.5
1-May,462.38
1-Jun,528.69
1-Jul,564.04
1-Aug,562.27
1-Sep,446.27
1-Oct,452.1
1-Nov,446.09
1-Dec,479.19
2-Jan,398.44
2-Feb,397.95
2-Mar,461.09
2-Apr,453.15
2-May,461.65
2-Jun,499.75
2-Jul,564.05
2-Aug,516.1
2-Sep,385.1
2-Oct,399.25
2-Nov,376
2-Dec,448.25
3-Jan,393.29
3-Feb,390.04
3-Mar,472.57
3-Apr,483.65
3-May,489.48
3-Jun,531.14
3-Jul,578.77
3-Aug,557.9
3-Sep,427.81
3-Oct,463.03
3-Nov,448.18
3-Dec,489.4
4-Jan,410.34
4-Feb,389.78
4-Mar,453.01
4-Apr,471.12
4-May,472.86
4-Jun,514.37
